link,type,time_ago,headline,title,description,published_time,modified_time,author,social_media
/news/michael-morales-championship-ready-vechain-ufc-322,Athletes,3 weeks ago,Michael Morales | Championship Ready,Michael Morales | Championship Ready,"Undefeated Contender Has A Simple Plan For VeChain UFC 322: Defeat Sean Brady, Then Call For A Shot At The Welterweight Title.",2025-11-13 12:05:00-06:00,2025-11-13 12:05:24-06:00,Simon Head,simonheadsport
/news/gregory-rodrigues-discipline-over-everything-vechain-ufc-322,Athletes,3 weeks ago,Gregory Rodrigues | Discipline Over Everything,Gregory Rodrigues | Discipline Over Everything,Brazilian Middleweight Gregory Rodrigues Focused On Consistency And Patience Ahead Of His Fight With Roman Kopylov At VeChain UFC 322,2025-11-13 10:00:00-06:00,2025-11-13 12:58:13-06:00,Zac Pacleb,
/news/erin-blanchfield-wants-to-make-the-most-of-her-chances-vechain-ufc-322,Athletes,3 weeks ago,Erin Blanchfield Wants To Make The Most Of Her…,Erin Blanchfield Wants To Make The Most Of Her Chances,"Ahead Of A Rematch With Tracy Cortez, Flyweight Phenom Erin Blanchfield Hopes To Earn A Shot At The Title With Her Performance At VeChain UFC 322 ",2025-11-12 16:45:00-06:00,2025-11-12 16:45:15-06:00,Zac Pacleb,ZacPacleb
/news/zhang-weili-big-challenge-apple-vechain-ufc-322,Athletes,3 weeks ago,Zhang Weili's Big Challenge In The Big Apple,Zhang Weili's Big Challenge In The Big Apple,"Zhang Weili Ruled The World At 115-lbs, But Now The Chinese MMA Superstar Is Moving Up To Flyweight To Take On The Biggest Test Of Her Career At VeChain UFC 322",2025-11-12 12:45:22-06:00,2025-11-12 14:03:16-06:00,Simon Head,simonheadsport
/news/leon-edwards-ready-steady-go-vechain-ufc-322,Athletes,3 weeks ago,"Leon Edwards | Ready, Steady, Go","Leon Edwards | Ready, Steady, Go",Former Welterweight Champion Plans To Bounce Back Into Contention At Madison Square Garden As He Reveals His Route To 2-Time Title Glory in 2026,2025-11-12 12:10:16-06:00,2025-11-12 12:22:32-06:00,Simon Head,simonheadsport
/news/islam-makhachev-and-zhang-weili-chasing-new-heights-vechain-ufc-322,Athletes,3 weeks ago,Islam Makhachev And Zhang Weili | Chasing New Heights,Islam Makhachev And Zhang Weili | Chasing New Heights,Former Champions Vacate Titles To Challenge For A Second Belt In A New Weight Division At VeChain UFC 322,2025-11-12 12:00:00-06:00,2025-11-12 12:37:25-06:00,Kevin Schuster,
/news/malcolm-wellmaker-the-genuine-article-vechain-ufc-322,Athletes,3 weeks ago,Malcolm Wellmaker | The Genuine Article,Malcolm Wellmaker | The Genuine Article,Talented Bantamweight Rookie Making An Impact At Home And Inside The Octagon,2025-11-12 11:53:58-06:00,2025-11-12 12:09:54-06:00,E. Spencer Kyte,spencerkyte
/news/islam-makhachev-new-talent-same-energy-vechain-ufc-322,Athletes,3 weeks ago,"Islam Makhachev | Same Talent, New Energy","Islam Makhachev | Same Talent, New Energy",Former Lightweight Champ Playful Ahead Of Welterweight Title Fight At MSG,2025-11-12 00:22:23-06:00,2025-11-11 21:56:31-06:00,,
/news/coach-conversation-vechain-ufc-322-della-maddalena-vs-makhachev,Fight Coverage,3 weeks ago,Coach Conversation | VeChain UFC 322: Della…,Coach Conversation | VeChain UFC 322: Della Maddalena vs Makhachev,Standout Striking Coach Eric Nicksick Helps Break Down Saturday’s Welterweight Title Fight,2025-11-11 14:26:00-06:00,2025-11-13 15:45:06-06:00,E. Spencer Kyte,spencerkyte
/news/ufc-welterweight-division-enters-pivotal-2-week-stretch-della-maddalena-makhachev-brady-morales-prates-edwards-muhammad-machado-garry,Fight Coverage,3 weeks ago,UFC Welterweight Division Enters Pivotal 2-Week…,UFC Welterweight Division Enters Pivotal 2-Week Stretch,Top Contenders And Reigning Champion Enter High-Stakes Matchups That Could Reshape The 170-Pound Division,2025-11-11 13:27:00-06:00,2025-11-11 14:40:36-06:00,Kevin Schuster,
