file,num_man_paragraphs,num_woman_paragraphs,num_equal_paragraphs,num_genderless_paragraphs,num_tokens,num_paragraphs
news_cody-brundage-needed-reset-ufc-vegas-103-co-main-event.txt,11,0,1,1,1570,13
news_cody-garbrandt-trusted-the-process-ufc-atlanta.txt,10,0,0,1,870,11
news_cody-gibson-classroom-octagon-ufc-vegas-104.txt,13,0,0,2,1000,15
news_cody-haddon-allow-me-to-re-introduce-myself-ufc-322.txt,30,0,0,8,2444,38
news_colby-thicknesses-moment-has-arrived-ufc-312-sydney.txt,11,0,0,2,863,13
news_conor-mcgregor-vs-nate-diaz-iconic-ufc-rivalries.txt,12,0,0,3,1100,15
news_cory-sandhagen-the-time-is-now-ufc-des-moines.txt,19,0,0,1,1339,20
news_court-mcgee-return-crusher-ufc-atlanta.txt,23,0,0,4,1568,27
news_cubas-latest-star-ernesto-rodriguez.txt,12,0,0,2,604,14
news_curtis-blaydes-adding-legacy-ufc-baku.txt,14,0,0,1,903,15
news_curtis-blaydes-i-wouldnt-want-me-as-a-debut-ufc-313.txt,17,0,0,0,983,17
news_dan-hooker-big-game-hunting-ufc-qatar-lightweight.txt,15,0,0,2,1244,17
news_dan-ige-is-looking-to-add-another-name-his-resume-ufc-318.txt,12,0,0,0,779,12
news_dan-ige-living-moment-ufc-314.txt,11,0,0,2,949,13
news_dana-whites-contender-series-alumni-competing-ufc-312.txt,19,2,0,3,972,24
news_dana-whites-contender-series-season-9-week-1-preview.txt,16,0,0,5,1314,21
news_daniel-barez-everything-coming-together-ufc-vegas-104.txt,21,0,0,4,1254,25
news_daniel-rodriguez-the-ride-continues-ufc-des-moines.txt,25,0,0,3,1522,28
news_daniel-zellhuber-age-just-number-ufc-318.txt,14,0,0,0,1030,14
news_danny-barlow-relentless-by-nature-ufc-fight-night-kape-vs-almabayev.txt,11,0,0,2,1047,13
news_danny-silva-hopes-earn-respect-ufc-fight-night-taira-vs-park.txt,9,0,0,2,669,11
news_darren-elkins-knows-who-he-is-ufc-314.txt,26,0,0,9,2026,35
news_davey-grant-hungry-for-more-ufc-vegas-105.txt,11,1,0,1,1390,13
news_davey-grant-im-going-there-knock-him-out-ufc-abu-dhabi.txt,11,0,0,2,829,13
news_david-onama-excited-but-also-expected-vegas-110.txt,21,0,0,4,1646,25
news_deiveson-figueiredo-wants-to-make-history-ufc-des-moines.txt,14,0,0,2,851,16
news_derrick-lewis-levels-game-ufc-fight-night-nashville.txt,25,0,0,3,1055,28
news_diana-belbita-im-not-a-fragile-girl-anymore-ufc-vegas-105.txt,3,19,0,17,1650,39
